generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,3,1
3000,1,2,1
4000,1,3,1
5000,2,3,1
6000,1,3,1
7000,1,2,1
8000,2,4,1
9000,2,4,1
10000,2,3,1
11000,1,2,1
12000,2,4,1
13000,1,3,1
14000,1,4,1
15000,1,2,1
16000,1,4,1
17000,1,4,1
18000,3,4,1
19000,3,4,1
20000,1,3,1
21000,3,4,1
22000,3,4,1
23000,3,4,1
24000,1,4,1
25000,2,3,1
26000,1,3,1
27000,1,4,1
28000,1,2,1
29000,3,4,1
30000,1,3,1
31000,2,4,1
32000,2,4,1
33000,1,2,1
34000,3,4,1
35000,3,4,1
36000,1,4,1
37000,1,4,1
38000,1,2,1
39000,2,4,1
40000,1,3,1
41000,1,4,1
42000,1,2,1
43000,1,4,1
44000,2,3,1
45000,2,4,1
46000,2,3,1
47000,2,4,1
48000,3,4,1
49000,1,3,1
50000,1,4,1
51000,2,3,1
52000,1,3,1
53000,1,4,1
54000,2,4,1
55000,1,3,1
56000,2,4,1
57000,3,4,1
58000,1,2,1
59000,3,4,1
60000,2,4,1
61000,2,3,1
62000,1,4,1
63000,1,2,1
64000,1,2,1
65000,1,4,1
66000,2,4,1
67000,2,3,1
68000,3,4,1
69000,2,4,1
70000,1,4,1
71000,1,3,0
72000,1,4,1
73000,1,3,1
74000,1,4,1
75000,2,4,1
76000,2,3,1
77000,3,4,1
78000,3,4,1
79000,2,3,1
80000,1,2,1
81000,2,4,1
82000,1,4,1
83000,1,3,1
84000,3,4,1
85000,3,4,1
86000,1,2,1
87000,2,4,1
88000,1,4,1
89000,1,4,1
90000,2,3,1
91000,1,4,1
92000,1,3,1
93000,2,3,1
94000,1,2,1
95000,1,4,1
96000,3,4,1
97000,3,4,1
98000,3,4,1
99000,1,4,1
100000,1,3,1
101000,2,4,1
102000,3,4,1
103000,2,3,1
104000,2,3,1
105000,2,4,1
106000,3,4,1
107000,2,4,1
108000,1,2,1
109000,1,3,1
110000,1,4,1
111000,1,4,1
112000,1,4,1
113000,1,2,1
114000,1,2,1
115000,2,3,0
116000,1,4,1
117000,1,3,1
118000,2,4,1
119000,1,3,1
120000,1,3,1
121000,1,3,1
122000,2,3,1
123000,3,4,1
124000,1,2,1
125000,1,3,1
126000,1,2,1
127000,1,4,1
128000,1,4,1
129000,2,4,1
130000,1,2,1
131000,2,4,1
132000,1,3,1
133000,2,4,1
134000,2,4,1
135000,1,3,1
136000,1,3,1
137000,1,4,1
138000,2,4,1
139000,3,4,1
140000,2,3,1
141000,1,2,1
142000,1,3,1
143000,3,4,1
144000,1,4,0
145000,2,3,1
146000,2,3,1
147000,1,3,1
148000,3,4,1
149000,3,4,1
150000,3,4,1
151000,2,4,1
152000,2,3,1
153000,2,3,1
154000,1,2,1
155000,1,4,1
