generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,species1,species3,0,0.032,0,0.005,0
1000,species1,species3,0,0.0136861,0.000118333,0.00392898,0
2000,species1,species3,0,0.0132064,-0.000269398,0.000443571,0
3000,species1,species3,0,0.0389891,-0.00120536,0.0234961,0
4000,species1,species3,0,0.0100779,0.00265089,0.00478197,0
5000,species1,species3,0,0.0152356,-0.00070212,0.00421262,0
6000,species1,species3,0,0.0169607,-0.000683242,0.007007,0
7000,species1,species3,0,0.0325075,-0.00283596,0.0125603,0
8000,species1,species3,0,0.0371134,-0.0042718,0.00576965,0
8000,species6,species51,228.991,0.0251701,0.00597511,0.0220433,0
8000,species3,NA,193.561,0.0385742,-0.00257622,0.0926347,0
9000,species1,species3,0,0.0452844,-0.0042718,0.0112105,0
9000,species3,NA,123.202,0.013783,0.00233143,0.0445235,0
10000,species1,species3,0,0.0419006,-0.0042718,0.00766963,0
10000,species3,NA,221.547,0.00318257,-0.000976881,0.0378455,0
11000,species1,species3,0,0.00922854,0.00216792,0.00424921,0
12000,species1,species3,0,0.00750943,0.00334043,0.000551914,0
13000,species1,species3,0,0.0114147,0.00232726,0.00924128,0
14000,species1,species3,0,0.0599572,-0.0042718,0.0160253,0
15000,species1,species3,0,0.0384438,-0.00228063,0.0155602,0
15000,species3,NA,246.947,0.0290763,0.00139906,0.0669071,0
16000,species1,species3,0,0.00945705,0.00108931,0.00316229,0
17000,species1,species3,0,0.027789,-0.002649,0.00643126,0
17000,species3,NA,245.911,0.00781578,0.00402672,0.0634958,0
18000,species1,species3,0,0.0303246,-0.002649,0.0110954,0
19000,species1,species3,0,0.0262756,-0.00213068,0.0091868,0
20000,species1,species3,0,0.00804418,0.00667342,0.00795621,0
21000,species1,species3,0,0.00743573,0.00710803,0.00470454,0
21000,species3,NA,171.118,0.00535177,-0.00281042,0.0551697,0
22000,species1,species3,0,0.0114596,0.00264652,0.00783985,0
23000,species1,species3,0,0.0144732,-0.000186363,0.00177803,0
24000,species1,species3,0,0.00822993,0.00146267,0.00415919,0
25000,species1,species3,0,0.0189684,-0.00107258,0.00565005,0
26000,species1,species3,0,0.0255792,-0.00194889,0.0108053,0
27000,species1,species3,0,0.0522871,-0.00322095,0.0184113,0
28000,species1,species3,0,0.023668,-0.00234838,0.00552473,0
29000,species1,species3,0,0.0132094,-0.000368612,0.00267353,0
30000,species1,species3,0,0.0197468,-0.000722674,0.0106612,0
31000,species1,species3,0,0.0189564,-0.000961069,0.00692538,0
32000,species1,species3,0,0.0177269,-0.000933781,0.00630631,0
33000,species1,species3,0,0.0191571,-0.00085005,0.00771982,0
34000,species1,species3,0,0.0146095,-0.000885879,0.00218979,0
34000,species30,NA,325.472,0.248485,-0.00357823,0.0112326,0
35000,species1,species3,0,0.0190866,-0.000574646,0.00449783,0
35000,species3,NA,239.599,0.00439214,0.000752042,0.0638401,0
36000,species1,species3,0,0.0141671,-2.35682e-05,0.00223167,0
37000,species1,species3,0,0.0140689,0.00145565,0.0117911,0
38000,species1,species3,0,0.00821303,0.000564264,0.000556797,0
38000,species57,NA,321.59,0.211831,0.00309338,0.0123257,0
38000,species26,species67,260.92,0.0440622,-0.000596898,0.0110796,0
39000,species1,species3,0,0.0105299,0.000564264,0.00119518,0
39000,species45,NA,316.263,0.0211608,0.00578872,0.0445734,0
39000,species3,NA,240.858,0.0188619,-0.00114492,0.113894,0
40000,species1,species3,0,0.00645882,0.00393626,0.000535296,0
41000,species1,species3,0,0.0122138,0.00206322,0.00795863,0
41000,species4,species72,320.94,0.0795033,0.00185632,0.0974294,0
