generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,8.11517,-425.147,1,0
1000,0,9.25495,-378.152,0.216118,0.28
2000,0,9.16617,-378.357,0.374606,0.266
3000,0,8.55018,-382.597,0.0153444,0.246918
4000,0,8.77183,-379.219,0.360317,0.267183
5000,0,9.13271,-377.435,0.278022,0.285
6000,0,9.19193,-377.571,0.137095,0.28725
7000,0,8.39795,-377.91,0.12195,0.219
8000,2,18.1702,-377.112,3.77974,0.33
9000,1,15.9913,-375.517,0.172509,0.452
10000,1,15.395,-376.412,1.46307,0.427
11000,0,9.09261,-378.37,0.194261,0.304667
12000,0,8.98439,-378.052,0.0433285,0.327
13000,0,8.67858,-380.185,0.436422,0.326286
14000,0,7.09238,-381.321,0.291717,0.394
15000,1,16.1127,-376.364,0.321743,0.276448
16000,0,9.42746,-377.948,0.0703872,0.33
17000,1,15.5982,-374.364,0.76134,0.357
18000,0,8.59572,-377.676,0.0482767,0.254
19000,0,8.56955,-377.492,0.321703,0.248
20000,0,6.31265,-380.057,0.714765,0.307125
21000,1,12.4884,-375.948,2.52081,0.353
22000,0,9.01296,-380.31,0.0387819,0.377
23000,0,9.22466,-378.961,0.270354,0.28
24000,0,6.7241,-379.39,2.72505,0.3124
25000,0,8.6163,-377.71,0.66278,0.304
26000,0,8.66632,-377.552,0.249164,0.259167
27000,0,7.02128,-380.339,0.897474,0.287
28000,0,8.81212,-377.831,0.14032,0.27075
29000,0,9.29893,-377.484,0.197238,0.294
30000,0,8.18273,-378.12,1.02471,0.2685
31000,0,7.97986,-377.596,1.28857,0.256
32000,0,9.23891,-377.451,0.0664032,0.279
33000,0,9.2088,-377.724,0.0524883,0.274333
34000,1,12.9288,-379.308,0.820276,0.275
35000,1,17.1401,-376.115,0.712691,0.368
36000,0,9.12867,-378.946,0.365527,0.276727
37000,0,9.16072,-380.987,0.0417066,0.308
38000,2,22.8393,-381.385,0.67901,0.318833
39000,2,22.3255,-375.135,1.24225,0.362
40000,0,8.45034,-378.011,0.356155,0.334091
41000,2,17.4553,-383.874,1.62643,0.3515
42000,0,7.6224,-378.782,1.05698,0.387833
43000,0,8.38779,-378.802,0.812927,0.329333
44000,1,17.4076,-377.034,0.959326,0.431
45000,0,8.39981,-378.732,0.997292,0.393
46000,0,9.41794,-377.679,0.120826,0.286
47000,0,9.2026,-378.436,0.401857,0.293
48000,2,24.2755,-378.878,1.11008,0.359
49000,0,9.31439,-378.343,0.0980145,0.352125
50000,0,8.13308,-378.125,0.372666,0.3465
51000,0,8.14583,-379.559,0.265569,0.196
52000,0,8.55224,-377.676,0.580128,0.325231
53000,0,8.56546,-377.893,0.101672,0.24625
54000,0,8.71926,-377.592,0.220979,0.234
55000,0,8.13729,-378.735,0.0723039,0.2685
56000,0,8.26203,-378.618,0.251904,0.24
57000,0,8.18838,-378.651,0.435723,0.347
58000,0,8.50866,-379.074,0.0838515,0.283
59000,0,8.83555,-378.022,0.152002,0.201
60000,0,8.20635,-378.416,0.348395,0.217
61000,0,8.70977,-379.106,0.336498,0.244
62000,0,8.45182,-379.36,0.388946,0.2078
63000,0,8.33883,-377.558,0.398058,0.256889
64000,0,8.45701,-380.311,0.61949,0.267
65000,0,9.02005,-377.644,0.403963,0.29025
66000,0,9.08531,-377.731,0.10486,0.244
67000,0,8.93334,-377.49,0.274154,0.368
68000,0,7.02815,-377.748,2.04026,0.351
69000,0,8.66753,-377.528,0.466058,0.32
70000,0,9.13374,-378.126,0.217978,0.282556
71000,1,16.4431,-375.476,1.21055,0.358
72000,1,14.7689,-374.738,0.310131,0.334333
73000,0,8.03359,-379.577,0.504991,0.2697
74000,0,8.95927,-378.245,0.42708,0.313
75000,0,8.22104,-377.452,0.959237,0.26
76000,0,8.27714,-379.216,0.0439515,0.231
77000,1,15.9024,-374.022,0.107294,0.322
78000,0,8.58418,-377.748,0.266645,0.329
79000,0,9.47286,-377.774,0.0361598,0.299
80000,1,14.7799,-374.058,1.30376,0.259143
81000,0,9.245,-377.992,0.152454,0.321
82000,0,8.60258,-378.66,0.544102,0.289
83000,0,8.58346,-377.747,0.285095,0.268091
84000,0,8.15841,-377.536,0.657309,0.245
85000,0,8.8909,-377.859,0.0752313,0.257
86000,1,14.2383,-375.076,2.96161,0.297591
87000,0,8,-377.517,1.53843,0.408
88000,0,7.55971,-378.16,1.00805,0.348333
89000,0,9.48851,-378.216,0.0764457,0.2855
90000,0,9.00344,-378.62,0.472402,0.291
91000,0,7.88385,-377.54,1.36726,0.228
92000,0,9.34115,-377.51,0.143876,0.316
93000,0,9.28981,-377.828,0.165282,0.307
94000,0,9.41026,-377.584,0.00794336,0.275667
95000,0,8.72177,-380.397,0.222785,0.2996
96000,0,8.18053,-379.891,1.08947,0.314
97000,0,8.1856,-380.07,0.0239893,0.253
98000,0,8.30667,-377.55,0.847914,0.255
99000,0,8.07848,-379.809,1.26223,0.294706
100000,0,8.5644,-377.552,0.913843,0.264
101000,0,9.4295,-377.579,0.0630138,0.334
102000,1,17.3814,-374.706,0.485226,0.49
103000,0,9.31284,-377.553,0.214563,0.427
104000,0,9.38706,-377.963,0.050245,0.274
105000,0,9.25509,-378.556,0.19846,0.281
106000,0,9.27137,-379.759,0.0751455,0.317
107000,0,8.5281,-378.904,0.968438,0.347
108000,0,9.15176,-377.678,0.376311,0.2914
109000,0,9.39772,-378.803,0.124402,0.303364
110000,0,9.01445,-379.805,0.111514,0.332909
111000,0,8.74388,-378.31,0.0910583,0.3095
112000,0,8.68962,-378.582,0.816314,0.308
113000,0,8.77091,-378.162,0.508822,0.278667
114000,0,8.52089,-379.927,0.421257,0.328
115000,2,23.3943,-379.092,1.66514,0.315
116000,0,7.63591,-378.554,1.38797,0.2838
117000,0,8.95165,-378.587,0.36368,0.330444
118000,1,15.923,-378.246,1.24193,0.355
119000,1,17.1792,-376.025,0.471754,0.333667
120000,0,9.00228,-378.134,0.433306,0.314
121000,0,8.69342,-378.665,0.680951,0.301
122000,0,7.55708,-378.281,1.15729,0.258
123000,1,16.2443,-379.164,0.499941,0.309
124000,1,17.7415,-374.396,0.115836,0.2995
125000,0,8.07797,-377.959,1.16465,0.288083
126000,0,9.48273,-378.671,0.041995,0.323
127000,0,7.86795,-379.603,0.591944,0.356583
128000,0,9.45247,-378.211,0.0103104,0.33
129000,0,9.44436,-377.593,0.0352735,0.307
130000,0,9.16609,-377.878,0.121934,0.303333
131000,0,8.96304,-377.425,0.0382753,0.268
132000,0,8.98411,-380.815,0.238352,0.31375
133000,0,8.86836,-377.888,0.00537056,0.258
134000,0,8.38914,-377.869,0.449736,0.279
135000,0,8.52678,-378.479,0.439981,0.2715
136000,1,14.9696,-379.504,0.862753,0.281
137000,0,8.60599,-377.472,0.60705,0.28125
138000,0,7.40004,-377.496,1.9979,0.258
139000,0,8.92406,-377.82,0.573873,0.247
140000,0,9.10708,-377.668,0.326104,0.281
141000,0,8.58438,-377.768,0.919635,0.24075
142000,0,7.93272,-377.713,1.23528,0.254833
143000,0,9.4172,-378.511,0.0292482,0.269
144000,0,9.01723,-378.423,0.0200625,0.28
145000,0,8.99643,-378.583,0.390916,0.291
146000,0,9.42788,-377.855,0.0209257,0.33
147000,0,9.33932,-377.634,0.205727,0.285667
148000,0,9.51043,-377.636,0.0729738,0.279
149000,0,9.37799,-377.624,0.139581,0.282
150000,0,9.34444,-377.608,0.155961,0.326
151000,0,9.35085,-378.92,0.181706,0.291
152000,0,8.7283,-377.991,0.241347,0.222
153000,0,8.74248,-377.87,0.418483,0.241
154000,0,8.73914,-379.431,0.102765,0.278125
