"tree.id","age","no.ex","prop.ex"
"tree_10",62.22,13,0.13
"tree_14",62.22,7,0.0729166666666667
"tree_15",62.22,9,0.132352941176471
"tree_16",62.22,10,0.161290322580645
"tree_17",60.18,19,0.0343580470162749
"tree_19",60.18,7,0.0666666666666667
"tree_20",60.18,17,0.0524691358024691
"tree_21",60.18,8,0.050314465408805
"tree_25",58.14,4,0.0655737704918033
"tree_28",58.14,4,0.0330578512396694
"tree_29",58.14,4,0.0701754385964912
"tree_36",56.1,3,0.0454545454545455
"tree_50",62.22,19,0.1484375
"tree_51",62.22,30,0.0925925925925926
"tree_54",62.22,7,0.0777777777777778
"tree_55",62.22,7,0.120689655172414
"tree_57",60.18,6,0.0163934426229508
"tree_59",60.18,5,0.0757575757575758
"tree_60",60.18,17,0.0456989247311828
"tree_61",60.18,7,0.0434782608695652
"tree_65",58.14,4,0.0571428571428571
"tree_67",58.14,5,0.0769230769230769
"tree_68",58.14,3,0.0193548387096774
"tree_69",58.14,4,0.0540540540540541
"tree_76",56.1,2,0.0289855072463768
"tree_90",62.22,10,0.0869565217391304
"tree_94",62.22,7,0.0679611650485437
"tree_97",60.18,11,0.0472103004291846
"tree_99",60.18,5,0.0434782608695652
"tree_100",60.18,8,0.025974025974026
"tree_101",60.18,4,0.037037037037037
"tree_105",58.14,4,0.0421052631578947
"tree_107",58.14,5,0.0675675675675676
"tree_108",58.14,4,0.0289855072463768
"tree_109",58.14,4,0.0634920634920635
"tree_116",56.1,3,0.0461538461538462
"tree_127",64.26,19,0.0549132947976879
"tree_128",64.26,28,0.0696517412935323
"tree_129",62.22,11,0.044
"tree_130",62.22,10,0.0636942675159236
"tree_131",62.22,10,0.0335570469798658
"tree_132",62.22,117,0.0539916935856022
"tree_133",62.22,11,0.0679012345679012
"tree_134",62.22,8,0.0833333333333333
"tree_137",60.18,4,0.037037037037037
"tree_139",60.18,6,0.048
"tree_140",60.18,6,0.0152671755725191
"tree_141",60.18,6,0.0476190476190476
"tree_147",58.14,4,0.0645161290322581
"tree_148",58.14,2,0.0153846153846154
"tree_149",58.14,6,0.101694915254237
"tree_156",56.1,3,0.0428571428571429
"tree_167",64.26,16,0.0445682451253482
"tree_168",64.26,22,0.0474137931034483
"tree_169",62.22,12,0.0396039603960396
"tree_170",62.22,9,0.087378640776699
"tree_171",62.22,10,0.0431034482758621
